fileyear,Program,Level,Number,MedianAnnualFamilyIncome,Person,IHSS,Child Welfare,Foster Care,DDS,Black,White,Hispanic,Asian_PI,Native_American,Other_missing,Female,Male
2021,CalFresh,State Assembly,District 52,74299.05,83542,4181,2381,443,1334,8145,8173,53937,4480,112,8695,45993,37549
2021,CalFresh,State Assembly,District 53,49287,114371,10089,3661,402,2059,15902,8478,69332,13532,213,6914,58654,55717
2021,CalFresh,State Assembly,District 54,95733.75,77349,7735,2259,365,1432,30793,10400,24726,3491,154,7785,41686,35663
2021,CalFresh,State Assembly,District 55,116074.35,37305,2907,659,193,646,1589,5740,16088,8046,65,5777,20766,16539
2021,CalFresh,State Assembly,District 56,60075.75,113009,6270,2486,459,1708,4039,11891,89030,765,773,6511,61328,51681
2021,CalFresh,State Assembly,District 57,89957.7,64469,5083,1612,306,1637,1871,6480,45755,6353,110,3900,35818,28651
2021,CalFresh,State Assembly,District 58,79538.55,73824,6125,2163,398,1662,5115,5845,52682,5628,82,4472,41260,32564
2021,CalFresh,State Assembly,District 59,50286.6,156984,10322,6751,882,3105,48206,3592,96339,1689,174,6984,83572,73412
2021,CalFresh,State Assembly,District 60,94593.45,58737,3456,1114,280,672,4364,9910,32443,3086,131,8803,32633,26104
2021,CalFresh,State Assembly,District 61,78340.5,85223,4914,2121,463,1033,15170,11123,43785,2569,184,12392,46932,38291
2021,CalFresh,State Assembly,District 62,83377.35,84298,6680,2181,402,1739,30853,7539,36453,2884,146,6423,46252,38046
2021,CalFresh,State Assembly,District 63,65217.6,89880,5659,2506,401,1893,10228,4826,65826,4320,112,4568,49929,39951
2021,CalFresh,State Assembly,District 64,64589.7,141251,9404,5370,818,2702,46839,4934,75971,5350,188,7969,75965,65286
2021,CalFresh,State Assembly,District 65,93112.95,66853,4359,1276,276,887,2633,10113,29130,12021,120,12836,36642,30211
2021,CalFresh,State Assembly,District 66,127209.6,40045,3098,765,142,905,7013,8008,14529,5760,83,4652,22129,17916
2021,CalFresh,State Assembly,District 67,94153.5,71781,4420,1460,280,890,6605,20402,29438,2624,219,12493,40004,31777
2021,CalFresh,State Assembly,District 68,130772.25,40033,2375,804,199,551,1617,8268,16604,3966,89,9489,22130,17903
2021,CalFresh,State Assembly,District 69,74474.4,84208,4046,1816,375,979,1716,7150,50901,10832,165,13444,44073,40135
2021,CalFresh,State Assembly,District 70,86421.3,83087,6783,2708,432,1793,17595,11743,35646,10063,183,7857,45327,37760
2021,CalFresh,State Assembly,District 71,91905.45,97209,5250,1381,252,1473,6179,26238,20398,2643,590,41161,52496,44713
2021,CalFresh,State Assembly,District 72,94496.85,71044,6987,880,153,811,1067,10293,19597,28113,119,11855,38396,32648
2021,CalFresh,State Assembly,District 73,146298.6,23191,1525,341,74,275,560,8922,6334,1112,71,6192,12694,10497
2021,CalFresh,State Assembly,District 74,131565,34205,2450,448,83,426,1329,11489,7127,3389,90,10781,18675,15530
